IP,Colo,Region
157.151.238.134,IAD,North_America
158.101.141.9,NRT,Asia_Pacific
158.101.15.61,LAX,North_America
158.101.190.78,FRA,Europe
158.101.196.233,AMS,Europe
158.101.214.54,AMS,Europe
158.101.218.12,AMS,Europe
158.101.22.136,LAX,North_America
158.101.24.17,LAX,North_America
158.101.242.224,MXP,Europe
158.101.30.153,LAX,North_America
158.101.5.169,SJC,North_America
158.101.5.192,LAX,North_America
158.101.7.107,LAX,North_America
158.101.84.125,NRT,Asia_Pacific
158.178.141.162,SYD,Oceania
158.178.145.168,AMS,Europe
158.178.146.13,AMS,Europe
158.178.196.235,CDG,Europe
158.178.215.52,CDG,Europe
158.178.224.249,SIN,Asia_Pacific
158.178.229.178,SIN,Asia_Pacific
158.179.204.151,ARN,Europe
158.179.206.143,ARN,Europe
158.180.12.117,AMS,Europe
158.180.231.216,FRA,Europe
158.180.239.66,FRA,Europe
158.180.5.171,SYD,Oceania
158.180.71.69,ICN,Asia_Pacific
158.180.77.150,ICN,Asia_Pacific
158.180.77.154,ICN,Asia_Pacific
158.180.91.9,ICN,Asia_Pacific
159.112.139.229,GRU,South_America
159.54.134.203,QRO,North_America
159.54.163.44,SJC,North_America
159.54.166.192,SJC,North_America
161.118.143.149,ICN,Asia_Pacific
161.118.158.9,ICN,Asia_Pacific
161.118.164.15,BOM,Asia_Pacific
161.118.179.243,BOM,Asia_Pacific
161.118.194.248,SIN,Asia_Pacific
161.118.200.170,SIN,Asia_Pacific
161.118.213.45,SIN,Asia_Pacific
161.118.217.162,SIN,Asia_Pacific
161.118.217.47,SIN,Asia_Pacific
161.118.220.38,SIN,Asia_Pacific
161.118.221.118,SIN,Asia_Pacific
161.118.222.22,SIN,Asia_Pacific
161.118.246.197,SIN,Asia_Pacific
161.118.249.203,SIN,Asia_Pacific
161.118.250.147,SIN,Asia_Pacific
161.118.255.139,SIN,Asia_Pacific
161.153.117.68,SJC,North_America
161.153.120.23,SJC,North_America
161.153.127.161,LAX,North_America
161.153.21.107,LAX,North_America
161.153.52.204,LAX,North_America
161.33.14.30,KIX,Asia_Pacific
161.33.141.33,NRT,Asia_Pacific
161.33.154.89,NRT,Asia_Pacific
161.33.170.72,NRT,Asia_Pacific
161.33.188.38,NRT,Asia_Pacific
161.33.19.122,KIX,Asia_Pacific
161.33.194.170,NRT,Asia_Pacific
161.33.197.118,NRT,Asia_Pacific
161.33.212.104,NRT,Asia_Pacific
161.33.212.191,NRT,Asia_Pacific
161.33.237.158,SYD,Oceania
161.33.25.202,KIX,Asia_Pacific
161.33.28.239,KIX,Asia_Pacific
161.33.28.40,KIX,Asia_Pacific
161.33.3.222,KIX,Asia_Pacific
161.33.46.100,KIX,Asia_Pacific
161.33.47.66,KIX,Asia_Pacific
163.192.10.125,SJC,North_America
163.192.22.57,SJC,North_America
163.192.27.167,SJC,North_America
163.192.3.96,SJC,North_America
163.192.47.170,SJC,North_America
163.192.47.40,SJC,North_America
163.192.51.76,SJC,North_America
163.192.61.105,SJC,North_America
163.192.8.37,SJC,North_America
165.1.79.166,SJC,North_America
167.234.219.146,SJC,North_America
167.234.220.219,SJC,North_America
167.234.221.72,SJC,North_America
167.234.222.133,SJC,North_America
168.107.0.210,ICN,Asia_Pacific
168.107.1.207,ICN,Asia_Pacific
168.107.22.127,ICN,Asia_Pacific
168.107.24.180,ICN,Asia_Pacific
168.107.25.39,ICN,Asia_Pacific
168.107.45.207,ICN,Asia_Pacific
168.107.62.215,ICN,Asia_Pacific
168.107.9.102,ICN,Asia_Pacific
168.110.101.249,ICN,Asia_Pacific
168.110.107.204,ICN,Asia_Pacific
168.110.201.254,SIN,Asia_Pacific
168.110.206.209,SIN,Asia_Pacific
168.110.52.52,NRT,Asia_Pacific
168.110.99.26,ICN,Asia_Pacific
168.138.15.48,MEL,Oceania
168.138.165.174,SIN,Asia_Pacific
168.138.168.174,SIN,Asia_Pacific
168.138.185.234,SIN,Asia_Pacific
168.138.191.251,SIN,Asia_Pacific
168.138.212.80,NRT,Asia_Pacific
168.138.22.243,MEL,Oceania
168.138.29.110,MEL,Oceania
168.138.6.212,MEL,Oceania
168.138.8.162,MEL,Oceania
170.9.13.84,SJC,North_America
170.9.30.19,SJC,North_America
170.9.43.85,YYZ,North_America
170.9.59.156,SJC,North_America
192.18.136.255,SJC,North_America
192.18.148.122,YYZ,North_America
192.18.159.129,YYZ,North_America
